"ID";"DataNascimento";"Sexo";"TempodeServiço";"EstadoCivil";"NumerodeFilhos";"TempodeResidencia";"Conta";"salario";"data_atual";"faixa_salario";"default";"default1";"QtdaParcelas";"Atraso";"ValorEmprestimo";"QtdaPagas";"comprometido_de_renda"
"1";"1952/02/03 00:00:00";"Masculino";"98";"3";"0";"7";"Particular";"5700,0";"2021-11-14";"C";"Adimplente";"0";"19";"Sim";"665";"6";"0,1166666666666667"
"2";"1958/05/23 00:00:00";"Masculino";"98";"3";"0";"43";"Particular";"4020,0";"2021-11-14";"B";"Adimplente";"0";"33";"Não";"950";"11";"0,2363184079601990"
"3";"1929/07/26 00:00:00";"Feminino";"98";"1";"0";"7";"empresa";"2145,0";"2021-11-14";"A";"Adimplente";"0";"20";"Não";"700";"6";"0,3263403263403263"
"4";"1947/04/15 00:00:00";"Feminino";"98";"1";"0";"13";"empresa";"2190,0";"2021-11-14";"A";"Adimplente";"0";"21";"Sim";"735";"7";"0,3356164383561644"
"5";"1955/02/09 00:00:00";"Masculino";"98";"2";"3";"8";"Particular";"4500,0";"2021-11-14";"B";"Adimplente";"0";"18";"Sim";"630";"6";"0,1400000000000000"
"6";"1958/08/22 00:00:00";"Masculino";"98";"2";"0";"26";"Particular";"3210,0";"2021-11-14";"B";"Adimplente";"0";"21";"Não";"735";"7";"0,2289719626168224"
"7";"1956/04/26 00:00:00";"Masculino";"98";"3";"0";"40";"Particular";"3600,0";"2021-11-14";"B";"Adimplente";"0";"22";"Não";"770";"7";"0,2138888888888889"
"8";"1966/05/06 00:00:00";"Feminino";"98";"3";"0";"15";"empresa";"2190,0";"2021-11-14";"A";"Adimplente";"0";"17";"Não";"595";"5";"0,2716894977168950"
"9";"1946/01/23 00:00:00";"Feminino";"98";"2";"6";"34";"empresa";"2790,0";"2021-11-14";"A";"Adimplente";"0";"29";"Não";"1015";"10";"0,3637992831541219"
"10";"1946/02/13 00:00:00";"Feminino";"98";"1";"0";"0";"empresa";"2400,0";"2021-11-14";"A";"Adimplente";"0";"26";"Não";"910";"9";"0,3791666666666667"
"11";"1950/02/07 00:00:00";"Feminino";"98";"3";"0";"6";"empresa";"3030,0";"2021-11-14";"B";"Adimplente";"0";"19";"Não";"665";"6";"0,2194719471947195"
"12";"1966/01/11 00:00:00";"Masculino";"98";"3";"0";"7";"Particular";"2835,0";"2021-11-14";"A";"Adimplente";"0";"19";"Não";"665";"6";"0,2345679012345679"
"13";"1960/07/17 00:00:00";"Masculino";"98";"1";"0";"6";"Particular";"2775,0";"2021-11-14";"A";"Adimplente";"0";"22";"Não";"770";"7";"0,2774774774774775"
"14";"1949/02/26 00:00:00";"Feminino";"98";"1";"0";"18";"empresa";"3510,0";"2021-11-14";"B";"Adimplente";"0";"30";"Sim";"1050";"10";"0,2991452991452991"
"15";"1962/08/29 00:00:00";"Masculino";"97";"2";"0";"24";"Particular";"2730,0";"2021-11-14";"A";"Adimplente";"0";"18";"Não";"630";"6";"0,2307692307692308"
"16";"1964/11/17 00:00:00";"Masculino";"97";"4";"3";"13";"Particular";"4080,0";"2021-11-14";"B";"Adimplente";"0";"18";"Não";"630";"6";"0,1544117647058824"
"17";"1962/07/18 00:00:00";"Masculino";"97";"1";"3";"7";"Particular";"4600,0";"2021-11-14";"B";"Adimplente";"0";"15";"Não";"525";"5";"0,1141304347826087"
"18";"1956/03/20 00:00:00";"Masculino";"97";"1";"0";"16";"Particular";"10375,0";"2021-11-14";"D";"Adimplente";"0";"25";"Não";"875";"8";"0,0843373493975904"
"19";"1962/08/19 00:00:00";"Masculino";"97";"1";"0";"1";"Particular";"4230,0";"2021-11-14";"B";"Adimplente";"0";"20";"Sim";"700";"7";"0,1654846335697399"
"20";"1940/01/23 00:00:00";"Feminino";"97";"4";"0";"14";"empresa";"2625,0";"2021-11-14";"A";"Adimplente";"0";"28";"Não";"980";"9";"0,3733333333333334"
"21";"1963/02/19 00:00:00";"Feminino";"97";"2";"3";"1";"empresa";"3885,0";"2021-11-14";"B";"Adimplente";"0";"32";"Não";"1120";"11";"0,2882882882882883"
"22";"1940/09/24 00:00:00";"Masculino";"97";"4";"3";"7";"Particular";"2175,0";"2021-11-14";"A";"Adimplente";"0";"31";"Sim";"1085";"10";"0,4988505747126437"
"23";"1965/03/15 00:00:00";"Feminino";"97";"3";"0";"3";"empresa";"2400,0";"2021-11-14";"A";"Adimplente";"0";"36";"Não";"1260";"12";"0,5250000000000000"
"24";"1933/03/27 00:00:00";"Feminino";"97";"1";"0";"18";"empresa";"1695,0";"2021-11-14";"A";"Adimplente";"0";"28";"Não";"980";"9";"0,5781710914454278"
"25";"1942/07/01 00:00:00";"Feminino";"97";"1";"0";"3";"empresa";"2115,0";"2021-11-14";"A";"Adimplente";"0";"25";"Sim";"875";"8";"0,4137115839243499"
"26";"1966/11/08 00:00:00";"Masculino";"96";"1";"0";"1";"Particular";"3105,0";"2021-11-14";"B";"Adimplente";"0";"28";"Não";"980";"9";"0,3156199677938809"
"27";"1954/03/19 00:00:00";"Masculino";"96";"2";"4";"2";"Particular";"6037,5";"2021-11-14";"C";"Adimplente";"0";"17";"Não";"595";"6";"0,0985507246376812"
"28";"1963/04/11 00:00:00";"Masculino";"96";"1";"0";"7";"Particular";"3255,0";"2021-11-14";"B";"Adimplente";"0";"29";"Não";"1015";"10";"0,3118279569892473"
"29";"1944/01/28 00:00:00";"Masculino";"96";"2";"6";"1";"Particular";"13500,0";"2021-11-14";"D";"Adimplente";"0";"26";"Não";"910";"9";"0,0674074074074074"
"30";"1961/09/17 00:00:00";"Masculino";"96";"1";"0";"0";"Particular";"3120,0";"2021-11-14";"B";"Adimplente";"0";"17";"Não";"595";"6";"0,1907051282051282"
"31";"1964/02/24 00:00:00";"Masculino";"96";"2";"3";"1";"Particular";"3615,0";"2021-11-14";"B";"Adimplente";"0";"17";"Não";"595";"6";"0,1645919778699862"
"32";"1954/01/28 00:00:00";"Masculino";"96";"3";"0";"2";"Particular";"11062,5";"2021-11-14";"D";"Adimplente";"0";"24";"Não";"840";"8";"0,0759322033898305"
"33";"1961/03/18 00:00:00";"Masculino";"96";"3";"0";"23";"Particular";"4200,0";"2021-11-14";"B";"Adimplente";"0";"35";"Não";"1225";"12";"0,2916666666666667"
"34";"1949/02/02 00:00:00";"Masculino";"96";"1";"0";"35";"Particular";"9200,0";"2021-11-14";"D";"Adimplente";"0";"25";"Não";"875";"8";"0,0951086956521739"
"35";"1961/08/22 00:00:00";"Masculino";"96";"1";"0";"16";"Particular";"8125,0";"2021-11-14";"D";"Adimplente";"0";"25";"Não";"875";"8";"0,1076923076923077"
"36";"1963/08/07 00:00:00";"Feminino";"96";"2";"3";"7";"empresa";"3135,0";"2021-11-14";"B";"Adimplente";"0";"29";"Não";"1015";"10";"0,3237639553429027"
"37";"1954/10/09 00:00:00";"Masculino";"96";"2";"0";"0";"Particular";"2910,0";"2021-11-14";"A";"Adimplente";"0";"19";"Não";"665";"6";"0,2285223367697594"
"38";"1962/04/27 00:00:00";"Masculino";"96";"3";"0";"9";"Particular";"3135,0";"2021-11-14";"B";"Adimplente";"0";"27";"Não";"945";"9";"0,3014354066985646"
"39";"1960/06/22 00:00:00";"Masculino";"96";"3";"0";"8";"Particular";"3600,0";"2021-11-14";"B";"Adimplente";"0";"31";"Não";"1085";"10";"0,3013888888888889"
"40";"1933/08/28 00:00:00";"Feminino";"96";"2";"6";"29";"empresa";"1920,0";"2021-11-14";"A";"Adimplente";"0";"33";"Não";"1155";"11";"0,6015625000000000"
"41";"1961/03/18 00:00:00";"Feminino";"96";"1";"0";"5";"empresa";"2355,0";"2021-11-14";"A";"Adimplente";"0";"21";"Não";"735";"7";"0,3121019108280255"
"42";"1960/09/23 00:00:00";"Masculino";"95";"3";"0";"31";"Particular";"3510,0";"2021-11-14";"B";"Adimplente";"0";"19";"Não";"665";"6";"0,1894586894586895"
"43";"1964/01/18 00:00:00";"Masculino";"95";"3";"0";"20";"Particular";"2325,0";"2021-11-14";"A";"Adimplente";"0";"23";"Não";"805";"8";"0,3462365591397850"
"44";"1963/06/15 00:00:00";"Masculino";"95";"1";"0";"23";"Particular";"2925,0";"2021-11-14";"A";"Adimplente";"0";"21";"Não";"735";"7";"0,2512820512820513"
"45";"1938/08/02 00:00:00";"Masculino";"95";"1";"0";"7";"Particular";"3075,0";"2021-11-14";"B";"Adimplente";"0";"18";"Sim";"630";"6";"0,2048780487804878"
"46";"1940/11/18 00:00:00";"Feminino";"95";"2";"0";"3";"empresa";"2235,0";"2021-11-14";"A";"Adimplente";"0";"18";"Sim";"630";"6";"0,2818791946308725"
"47";"1938/04/28 00:00:00";"Feminino";"95";"4";"3";"16";"empresa";"3000,0";"2021-11-14";"A";"Adimplente";"0";"32";"Não";"1120";"11";"0,3733333333333334"
"48";"1947/06/07 00:00:00";"Masculino";"94";"1";"3";"13";"Particular";"3075,0";"2021-11-14";"B";"Adimplente";"0";"19";"Não";"665";"6";"0,2162601626016260"
"49";"1958/09/16 00:00:00";"Masculino";"94";"1";"0";"8";"Particular";"3480,0";"2021-11-14";"B";"Adimplente";"0";"24";"Não";"840";"8";"0,2413793103448276"
"50";"1960/02/09 00:00:00";"Masculino";"94";"1";"0";"5";"Particular";"6000,0";"2021-11-14";"C";"Adimplente";"0";"22";"Não";"770";"7";"0,1283333333333333"
"51";"1962/07/08 00:00:00";"Masculino";"94";"4";"0";"4";"Particular";"3555,0";"2021-11-14";"B";"Adimplente";"0";"22";"Não";"770";"7";"0,2165963431786217"
"52";"1963/11/12 00:00:00";"Masculino";"94";"2";"3";"15";"Particular";"4515,0";"2021-11-14";"B";"Adimplente";"0";"23";"Não";"805";"8";"0,1782945736434109"
"53";"1954/04/21 00:00:00";"Masculino";"94";"4";"3";"1";"Particular";"7375,0";"2021-11-14";"D";"Adimplente";"0";"22";"Não";"770";"7";"0,1044067796610170"
"54";"1931/06/04 00:00:00";"Masculino";"94";"3";"0";"6";"Particular";"2505,0";"2021-11-14";"A";"Adimplente";"0";"30";"Não";"1050";"10";"0,4191616766467066"
"55";"1960/06/25 00:00:00";"Masculino";"94";"1";"0";"3";"Particular";"2700,0";"2021-11-14";"A";"Adimplente";"0";"19";"Não";"665";"6";"0,2462962962962963"
"56";"1962/04/16 00:00:00";"Masculino";"94";"1";"0";"23";"Particular";"2685,0";"2021-11-14";"A";"Adimplente";"0";"16";"Não";"560";"5";"0,2085661080074488"
"57";"1963/04/15 00:00:00";"Masculino";"94";"1";"0";"14";"Particular";"3390,0";"2021-11-14";"B";"Adimplente";"0";"21";"Sim";"735";"7";"0,2168141592920354"
"58";"1964/11/14 00:00:00";"Feminino";"94";"2";"4";"16";"empresa";"2640,0";"2021-11-14";"A";"Adimplente";"0";"30";"Não";"1050";"10";"0,3977272727272727"
"59";"1961/05/07 00:00:00";"Masculino";"94";"1";"0";"19";"Particular";"2805,0";"2021-11-14";"A";"Adimplente";"0";"20";"Não";"700";"7";"0,2495543672014260"
"60";"1959/02/16 00:00:00";"Masculino";"94";"2";"6";"16";"Particular";"3090,0";"2021-11-14";"B";"Adimplente";"0";"17";"Não";"595";"6";"0,1925566343042071"
"61";"1964/04/28 00:00:00";"Masculino";"94";"1";"0";"4";"Particular";"2250,0";"2021-11-14";"A";"Adimplente";"0";"17";"Não";"595";"6";"0,2644444444444444"
"62";"1962/07/18 00:00:00";"Masculino";"93";"2";"3";"9";"Particular";"4800,0";"2021-11-14";"B";"Adimplente";"0";"23";"Não";"805";"8";"0,1677083333333333"
"63";"1961/08/20 00:00:00";"Masculino";"93";"3";"0";"18";"Particular";"5500,0";"2021-11-14";"C";"Adimplente";"0";"24";"Não";"840";"8";"0,1527272727272727"
"64";"1963/09/28 00:00:00";"Masculino";"93";"3";"0";"1";"Particular";"5312,5";"2021-11-14";"C";"Adimplente";"0";"28";"Não";"980";"9";"0,1844705882352941"
"65";"1964/03/28 00:00:00";"Masculino";"93";"1";"0";"15";"Particular";"2190,0";"2021-11-14";"A";"Adimplente";"0";"26";"Não";"910";"9";"0,4155251141552511"
"66";"1962/02/16 00:00:00";"Masculino";"93";"1";"0";"27";"Particular";"7812,5";"2021-11-14";"D";"Adimplente";"0";"20";"Sim";"700";"7";"0,0896000000000000"
"67";"1964/05/28 00:00:00";"Masculino";"93";"2";"3";"19";"Particular";"4600,0";"2021-11-14";"B";"Adimplente";"0";"24";"Não";"840";"8";"0,1826086956521739"
"68";"1963/05/05 00:00:00";"Masculino";"93";"2";"0";"12";"Particular";"4525,0";"2021-11-14";"B";"Adimplente";"0";"28";"Não";"980";"9";"0,2165745856353591"
"69";"1960/06/23 00:00:00";"Masculino";"93";"3";"0";"20";"Particular";"5655,0";"2021-11-14";"C";"Adimplente";"0";"20";"Sim";"700";"7";"0,1237842617152962"
"70";"1962/02/08 00:00:00";"Masculino";"93";"3";"0";"2";"Particular";"4110,0";"2021-11-14";"B";"Adimplente";"0";"22";"Não";"770";"7";"0,1873479318734793"
"71";"1948/08/26 00:00:00";"Masculino";"93";"2";"6";"10";"Particular";"8250,0";"2021-11-14";"D";"Adimplente";"0";"22";"Não";"770";"7";"0,0933333333333333"
"72";"1964/01/07 00:00:00";"Feminino";"93";"1";"0";"5";"empresa";"5400,0";"2021-11-14";"C";"Adimplente";"0";"31";"Não";"1085";"10";"0,2009259259259259"
"73";"1968/02/09 00:00:00";"Feminino";"93";"3";"0";"11";"empresa";"2640,0";"2021-11-14";"A";"Adimplente";"0";"23";"Não";"805";"8";"0,3049242424242424"
"74";"1933/04/28 00:00:00";"Feminino";"93";"3";"0";"9";"empresa";"3390,0";"2021-11-14";"B";"Adimplente";"0";"16";"Não";"560";"5";"0,1651917404129793"
"75";"1965/08/12 00:00:00";"Feminino";"93";"1";"0";"8";"empresa";"2415,0";"2021-11-14";"A";"Adimplente";"0";"16";"Não";"560";"5";"0,2318840579710145"
"76";"1967/09/03 00:00:00";"Feminino";"93";"1";"0";"11";"empresa";"2925,0";"2021-11-14";"A";"Adimplente";"0";"18";"Não";"630";"6";"0,2153846153846154"
"77";"1968/09/09 00:00:00";"Feminino";"93";"2";"0";"13";"empresa";"2760,0";"2021-11-14";"A";"Adimplente";"0";"25";"Não";"875";"8";"0,3170289855072464"
"78";"1968/08/20 00:00:00";"Feminino";"93";"4";"3";"11";"empresa";"2295,0";"2021-11-14";"A";"Adimplente";"0";"32";"Não";"1120";"11";"0,4880174291938998"
"79";"1962/01/23 00:00:00";"Feminino";"93";"1";"3";"29";"empresa";"3480,0";"2021-11-14";"B";"Adimplente";"0";"20";"Não";"700";"7";"0,2011494252873563"
"80";"1961/05/25 00:00:00";"Feminino";"93";"1";"0";"10";"empresa";"5100,0";"2021-11-14";"C";"Adimplente";"0";"23";"Não";"805";"8";"0,1578431372549020"
"81";"1968/03/12 00:00:00";"Feminino";"93";"1";"0";"10";"empresa";"2430,0";"2021-11-14";"A";"Adimplente";"0";"22";"Não";"770";"7";"0,3168724279835391"
"82";"1947/08/28 00:00:00";"Feminino";"93";"4";"0";"1";"empresa";"2475,0";"2021-11-14";"A";"Adimplente";"0";"32";"Não";"1120";"11";"0,4525252525252526"
"83";"1967/10/12 00:00:00";"Feminino";"93";"2";"3";"14";"empresa";"2295,0";"2021-11-14";"A";"Adimplente";"0";"30";"Não";"1050";"10";"0,4575163398692810"
"84";"1967/03/12 00:00:00";"Feminino";"93";"4";"3";"0";"empresa";"2505,0";"2021-11-14";"A";"Adimplente";"0";"20";"Não";"700";"7";"0,2794411177644711"
"85";"1962/04/09 00:00:00";"Masculino";"92";"3";"0";"32";"Particular";"2595,0";"2021-11-14";"A";"Adimplente";"0";"23";"Não";"805";"8";"0,3102119460500963"
"86";"1961/08/25 00:00:00";"Masculino";"92";"1";"0";"17";"Particular";"3165,0";"2021-11-14";"B";"Adimplente";"0";"17";"Não";"595";"6";"0,1879936808846761"
"87";"1959/10/20 00:00:00";"Masculino";"92";"1";"0";"15";"Particular";"2415,0";"2021-11-14";"A";"Adimplente";"0";"19";"Não";"665";"6";"0,2753623188405797"
"88";"1962/02/10 00:00:00";"Masculino";"92";"1";"0";"26";"Particular";"7250,0";"2021-11-14";"D";"Adimplente";"0";"23";"Não";"805";"8";"0,1110344827586207"
"89";"1961/06/24 00:00:00";"Masculino";"92";"2";"4";"11";"Particular";"6875,0";"2021-11-14";"C";"Adimplente";"0";"36";"Não";"1260";"12";"0,1832727272727273"
"90";"1938/02/27 00:00:00";"Feminino";"92";"1";"0";"13";"empresa";"1620,0";"2021-11-14";"A";"Adimplente";"0";"22";"Não";"770";"7";"0,4753086419753086"
"91";"1967/11/04 00:00:00";"Feminino";"92";"2";"6";"7";"empresa";"2010,0";"2021-11-14";"A";"Adimplente";"0";"24";"Não";"840";"8";"0,4179104477611940"
"92";"1968/06/25 00:00:00";"Feminino";"92";"1";"0";"10";"empresa";"2400,0";"2021-11-14";"A";"Adimplente";"0";"21";"Não";"735";"7";"0,3062500000000000"
"93";"1968/03/05 00:00:00";"Feminino";"92";"2";"3";"4";"empresa";"2595,0";"2021-11-14";"A";"Adimplente";"0";"19";"Não";"665";"6";"0,2562620423892100"
"94";"1950/08/04 00:00:00";"Feminino";"92";"3";"0";"1";"empresa";"2460,0";"2021-11-14";"A";"Adimplente";"0";"25";"Sim";"875";"8";"0,3556910569105691"
"95";"1968/08/08 00:00:00";"Feminino";"92";"3";"0";"15";"empresa";"2850,0";"2021-11-14";"A";"Adimplente";"0";"16";"Não";"560";"5";"0,1964912280701754"
"96";"1933/10/02 00:00:00";"Masculino";"92";"1";"0";"25";"Particular";"3075,0";"2021-11-14";"B";"Adimplente";"0";"29";"Não";"1015";"10";"0,3300813008130081"
"97";"1953/01/18 00:00:00";"Masculino";"92";"1";"0";"6";"Particular";"4020,0";"2021-11-14";"B";"Adimplente";"0";"29";"Não";"1015";"10";"0,2524875621890547"
"98";"1956/05/17 00:00:00";"Masculino";"92";"2";"3";"1";"Particular";"3000,0";"2021-11-14";"A";"Adimplente";"0";"19";"Não";"665";"6";"0,2216666666666667"
"99";"1968/07/07 00:00:00";"Feminino";"92";"2";"0";"7";"empresa";"2205,0";"2021-11-14";"A";"Adimplente";"0";"19";"Não";"665";"6";"0,3015873015873016"
"100";"1963/10/25 00:00:00";"Masculino";"91";"3";"0";"5";"Particular";"7825,0";"2021-11-14";"D";"Adimplente";"0";"30";"Não";"1050";"10";"0,1341853035143770"
"101";"1960/03/14 00:00:00";"Masculino";"91";"3";"0";"3";"Particular";"6062,5";"2021-11-14";"C";"Adimplente";"0";"24";"Não";"840";"8";"0,1385567010309278"
"102";"1963/03/28 00:00:00";"Masculino";"91";"2";"6";"3";"Particular";"3990,0";"2021-11-14";"B";"Adimplente";"0";"19";"Não";"665";"6";"0,1666666666666667"
"103";"1959/03/17 00:00:00";"Masculino";"91";"1";"0";"6";"Particular";"9700,0";"2021-11-14";"D";"Adimplente";"0";"24";"Não";"840";"8";"0,0865979381443299"
"104";"1962/11/05 00:00:00";"Masculino";"91";"3";"0";"6";"Particular";"2745,0";"2021-11-14";"A";"Adimplente";"0";"23";"Não";"805";"8";"0,2932604735883425"
"105";"1966/03/07 00:00:00";"Masculino";"91";"3";"0";"0";"Particular";"3165,0";"2021-11-14";"B";"Adimplente";"0";"20";"Não";"700";"7";"0,2211690363349131"
"106";"1962/08/04 00:00:00";"Masculino";"91";"1";"0";"16";"Particular";"9125,0";"2021-11-14";"D";"Adimplente";"0";"25";"Não";"875";"8";"0,0958904109589041"
"107";"1960/08/16 00:00:00";"Feminino";"91";"1";"0";"5";"empresa";"2520,0";"2021-11-14";"A";"Adimplente";"0";"30";"Não";"1050";"10";"0,4166666666666667"
"108";"1930/07/16 00:00:00";"Feminino";"91";"2";"0";"0";"empresa";"2100,0";"2021-11-14";"A";"Adimplente";"0";"22";"Não";"770";"7";"0,3666666666666666"
"109";"1963/11/10 00:00:00";"Masculino";"91";"4";"3";"22";"Particular";"3045,0";"2021-11-14";"B";"Adimplente";"0";"18";"Não";"630";"6";"0,2068965517241379"
"110";"1952/10/29 00:00:00";"Masculino";"91";"1";"3";"2";"Particular";"2835,0";"2021-11-14";"A";"Adimplente";"0";"16";"Não";"560";"5";"0,1975308641975309"
"111";"1940/11/27 00:00:00";"Masculino";"91";"1";"0";"2";"Particular";"3075,0";"2021-11-14";"B";"Adimplente";"0";"32";"Não";"1120";"11";"0,3642276422764228"
"112";"1948/06/21 00:00:00";"Masculino";"91";"1";"0";"6";"Particular";"3075,0";"2021-11-14";"B";"Adimplente";"0";"18";"Não";"630";"6";"0,2048780487804878"
"113";"1959/10/06 00:00:00";"Masculino";"90";"4";"0";"5";"Particular";"5487,5";"2021-11-14";"C";"Adimplente";"0";"29";"Não";"1015";"10";"0,1849658314350797"
"114";"1961/08/25 00:00:00";"Masculino";"90";"2";"3";"29";"Particular";"3780,0";"2021-11-14";"B";"Adimplente";"0";"33";"Sim";"1155";"11";"0,3055555555555556"
"115";"1961/05/12 00:00:00";"Masculino";"90";"4";"3";"14";"Particular";"3345,0";"2021-11-14";"B";"Adimplente";"0";"20";"Não";"700";"7";"0,2092675635276532"
"116";"1962/06/09 00:00:00";"Masculino";"90";"3";"0";"20";"Particular";"3030,0";"2021-11-14";"B";"Adimplente";"0";"28";"Não";"980";"9";"0,3234323432343234"
"117";"1932/01/14 00:00:00";"Feminino";"90";"1";"0";"10";"empresa";"3150,0";"2021-11-14";"B";"Adimplente";"0";"14";"Não";"490";"5";"0,1555555555555556"
"118";"1964/03/04 00:00:00";"Feminino";"90";"1";"0";"9";"empresa";"3165,0";"2021-11-14";"B";"Adimplente";"0";"28";"Não";"980";"9";"0,3096366508688784"
